State,Temperature_Above_Avg,High_Rainfall,High_Humidity,Insecticide_Use,Health_Facilities_Adequate,Vaccination_Rate_High,High_Population_Density,Mosquito_Net_Coverage_High,Malaria_Outbreak,Malaria_diagnosis
Andhra Pradesh,38.5,378.5,57,53.9,1.0,84.5,1643,58.8,63.2,The person is affected with Malaria 😷
Andhra Pradesh,29.3,336.9,80,85.6,32.8,2.9,1300,4.5,27.9,The person is affected with Malaria 😷
Andhra Pradesh,39.5,318.4,43,25.1,86.9,89.6,332,53.0,63.9,The person is not affected with Malaria 😊
Andhra Pradesh,39.2,213.9,81,62.4,2.0,53.7,124,79.7,43.7,The person is affected with Malaria 😷
Andhra Pradesh,30.7,428.7,53,75.5,99.8,7.8,1619,60.2,90.6,The person is affected with Malaria 😷
Andhra Pradesh,31.6,165.0,88,19.8,54.4,30.1,906,53.0,43.2,The person is affected with Malaria 😷
Andhra Pradesh,22.3,401.4,79,70.4,95.6,51.6,1402,62.2,63.3,The person is not affected with Malaria 😊
Andhra Pradesh,37.1,276.8,48,23.4,48.1,62.3,1271,28.1,42.7,The person is affected with Malaria 😷
Andhra Pradesh,23.6,365.2,92,46.9,48.0,93.1,1122,36.1,24.8,The person is affected with Malaria 😷
Andhra Pradesh,23.4,331.1,76,30.5,77.9,86.5,1981,8.0,86.7,The person is affected with Malaria 😷
Andhra Pradesh,22.4,228.8,50,81.5,62.2,78.1,1050,89.2,62.0,The person is affected with Malaria 😷
Andhra Pradesh,37.8,65.7,54,25.1,29.9,60.1,1005,35.5,56.2,The person is not affected with Malaria 😊
Andhra Pradesh,21.0,366.0,49,20.9,95.6,36.1,1482,24.4,35.3,The person is affected with Malaria 😷
Andhra Pradesh,20.1,298.7,66,49.5,99.3,15.8,633,9.7,12.7,The person is affected with Malaria 😷
Andhra Pradesh,38.6,304.2,53,39.9,8.2,54.3,770,75.1,70.2,The person is affected with Malaria 😷
Andhra Pradesh,29.6,62.2,73,66.5,43.9,10.9,1038,62.3,7.8,The person is affected with Malaria 😷
Andhra Pradesh,36.9,407.7,64,99.4,100.0,82.8,1703,90.7,83.7,The person is affected with Malaria 😷
Andhra Pradesh,27.2,147.5,47,10.2,42.4,27.4,1947,57.2,24.2,The person is not affected with Malaria 😊
Andhra Pradesh,31.0,469.7,97,63.1,31.7,47.6,1738,30.3,50.3,The person is not affected with Malaria 😊
Andhra Pradesh,21.8,402.0,79,47.4,87.3,9.7,962,33.8,96.6,The person is not affected with Malaria 😊
Andhra Pradesh,33.6,338.4,81,81.9,90.1,17.0,749,97.1,71.9,The person is affected with Malaria 😷
Andhra Pradesh,32.6,123.3,75,30.2,76.8,69.5,1639,4.9,48.0,The person is not affected with Malaria 😊
Andhra Pradesh,35.3,66.5,91,93.5,33.2,43.7,814,12.5,61.0,The person is not affected with Malaria 😊
Andhra Pradesh,22.4,472.7,73,19.0,23.9,59.6,1466,11.2,85.2,The person is not affected with Malaria 😊
